word,zipf,pos,age_band
dead,5.54,JJ,7-9
blood,5.43,NN,7-9
death,5.35,NN,7-9
ok,5.08,JJ,7-9
smoke,5.03,NN,7-9
shoes,4.95,NNS,7-9
shrugged,4.94,VBD,7-9
battle,4.89,NN,7-9
evil,4.82,JJ,7-9
twisted,4.8,VBN,7-9
wine,4.74,NN,7-9
jews,4.73,NNS,10-12
demanded,4.72,VBD,7-9
buried,4.71,VBN,7-9
frozen,4.71,VBN,7-9
folded,4.7,VBN,7-9
tv,4.7,NN,7-9
feelings,4.69,NNS,7-9
rubbed,4.68,VBD,7-9
buildings,4.67,NNS,7-9
including,4.67,VBG,7-9
insisted,4.66,VBD,7-9
meggie,4.66,NN,all
refused,4.65,VBD,7-9
swept,4.65,VBD,7-9
faded,4.64,VBD,7-9
wiped,4.64,VBD,7-9
tucked,4.63,VBD,7-9
caine,4.61,NN,10-12
anne,4.6,NN,7-9
caused,4.6,VBD,7-9
constance,4.6,NN,7-9
america,4.59,NN,7-9
pip,4.59,NN,7-9
shoved,4.59,VBD,7-9
batty,4.58,NN,7-9
drunk,4.58,JJ,7-9
guests,4.58,NNS,7-9
floating,4.57,VBG,7-9
heels,4.57,NNS,7-9
removed,4.57,VBD,7-9
cal,4.56,NN,7-9
drake,4.55,NN,7-9
abandoned,4.54,VBN,7-9
shone,4.54,VBD,7-9
dinah,4.53,NN,7-9
ariadne,4.51,NN,7-9
details,4.51,NNS,7-9
germany,4.51,NN,7-9
goliath,4.51,NN,7-9
la,4.51,DT,all
polly,4.51,JJ,7-9
pounds,4.51,NNS,7-9
annie,4.5,NN,7-9
curse,4.5,NN,7-9
ripped,4.5,VBD,7-9
zeke,4.5,NN,7-9
biggles,4.49,NNS,10-12
froze,4.49,VBD,7-9
mo,4.49,NN,7-9
pa,4.49,NN,7-9
bleeding,4.48,NN,7-9
cordelia,4.48,NNS,10-12
europe,4.47,NN,7-9
indian,4.47,JJ,7-9
invited,4.47,VBN,7-9
naked,4.47,JJ,7-9
pounding,4.47,VBG,7-9
rubbing,4.47,VBG,7-9
baba,4.46,NN,7-9
cigarette,4.46,NN,7-9
kitty,4.46,NN,7-9
tiffany,4.46,NN,10-12
frodo,4.45,NN,7-9
mistress,4.45,NN,7-9
mixed,4.45,VBN,7-9
arranged,4.44,VBN,7-9
backward,4.44,RB,7-9
drifted,4.44,VBD,7-9
intended,4.44,VBN,7-9
nails,4.44,NNS,7-9
ruined,4.44,VBN,7-9
vampire,4.44,NN,7-9
wounded,4.44,VBN,7-9
demon,4.43,NN,7-9
ed,4.43,NN,7-9
twisting,4.43,VBG,7-9
dollars,4.42,NNS,7-9
grade,4.42,NN,7-9
jerked,4.42,VBD,7-9
bastien,4.41,NN,10-12
benedict,4.41,NN,7-9
dartagnan,4.41,NN,7-9
gay,4.41,JJ,7-9
lil,4.41,NN,7-9
minho,4.41,NN,all
bob,4.4,NN,7-9
boyfriend,4.4,NN,7-9
required,4.4,VBN,7-9
workers,4.4,NNS,7-9
assumed,4.39,VBD,7-9
chuckled,4.39,VBD,7-9
drowned,4.39,VBN,7-9
distracted,4.38,VBN,7-9
johnny,4.38,NN,7-9
rifle,4.38,NN,7-9
smoking,4.38,VBG,7-9
suffering,4.38,NN,7-9
supplies,4.38,NNS,7-9
arya,4.37,NN,all
metres,4.37,NNS,7-9
rosalind,4.37,NN,7-9
watson,4.37,NN,7-9
adults,4.36,NNS,7-9
exploded,4.36,VBD,7-9
hopped,4.36,VBD,7-9
nerves,4.36,NNS,7-9
players,4.36,NNS,7-9
produced,4.36,VBD,7-9
aid,4.35,NN,7-9
auntie,4.35,NN,7-9
bumble,4.35,VBP,7-9
cheerful,4.35,JJ,7-9
chinese,4.35,JJ,7-9
collect,4.35,VB,7-9
delicate,4.35,JJ,7-9
fever,4.35,NN,7-9
fifth,4.35,JJ,7-9
francie,4.35,NN,all
habit,4.35,NN,7-9
kestrel,4.35,NN,7-9
maze,4.35,NN,7-9
orc,4.35,NN,10-12
pardon,4.35,NN,7-9
port,4.35,NN,7-9
ruin,4.35,VB,7-9
scientists,4.35,NNS,7-9
senses,4.35,NNS,7-9
shoe,4.35,NN,7-9
shrug,4.35,NN,7-9
sneak,4.35,VB,7-9
steep,4.35,JJ,7-9
straightened,4.35,VBD,7-9
yanked,4.35,VBD,7-9
amongst,4.34,IN,7-9
ankle,4.34,NN,7-9
coal,4.34,NN,7-9
dee,4.34,NN,7-9
detail,4.34,NN,7-9
difficulty,4.34,NN,7-9
display,4.34,NN,7-9
feast,4.34,NN,7-9
freezing,4.34,VBG,7-9
india,4.34,NN,7-9
lump,4.34,NN,7-9
maudie,4.34,NN,7-9
pattern,4.34,NN,7-9
policeman,4.34,NN,7-9
saddle,4.34,NN,7-9
somewhat,4.34,RB,7-9
supply,4.34,NN,7-9
theory,4.34,NN,7-9
threatened,4.34,VBD,7-9
ticket,4.34,NN,7-9
tightened,4.34,VBN,7-9
trace,4.34,NN,7-9
urge,4.34,NN,7-9
utterly,4.34,RB,7-9
virgo,4.34,NN,7-9
wipe,4.34,VB,7-9
ya,4.34,PRP,7-9
assured,4.33,VBD,7-9
bullet,4.33,NN,7-9
choked,4.33,VBD,7-9
contained,4.33,VBD,7-9
direct,4.33,JJ,7-9
fabric,4.33,NN,7-9
garage,4.33,NN,7-9
grasp,4.33,NN,7-9
guest,4.33,NN,7-9
hammer,4.33,NN,7-9
heap,4.33,NN,7-9
hound,4.33,NN,7-9
injured,4.33,VBN,7-9
juice,4.33,NN,7-9
jupiter,4.33,NN,7-9
literally,4.33,RB,7-9
log,4.33,NN,7-9
muffled,4.33,JJ,7-9
prime,4.33,JJ,7-9
realm,4.33,NN,7-9
sandwich,4.33,NN,7-9
soaked,4.33,VBN,7-9
stirred,4.33,VBD,7-9
tense,4.33,JJ,7-9
tilted,4.33,VBD,7-9
toy,4.33,NN,7-9
twist,4.33,NN,7-9
violent,4.33,JJ,7-9
visitors,4.33,NNS,7-9
anxiety,4.32,NN,7-9
balloon,4.32,NN,7-9
brass,4.32,NN,7-9
celeste,4.32,NN,7-9
compared,4.32,VBN,7-9
connection,4.32,NN,7-9
floated,4.32,VBD,7-9
flushed,4.32,VBN,7-9
fond,4.32,JJ,7-9
handkerchief,4.32,NN,7-9
hastily,4.32,RB,7-9
huddled,4.32,VBD,7-9
jackal,4.32,NN,7-9
jaime,4.32,NN,all
lawyer,4.32,NN,7-9
newt,4.32,NN,7-9
pistol,4.32,NN,7-9
possibility,4.32,NN,7-9
provided,4.32,VBN,7-9
remarked,4.32,VBD,7-9
ren,4.32,NN,10-12
resistance,4.32,NN,7-9
role,4.32,NN,7-9
shove,4.32,VB,7-9
stable,4.32,JJ,7-9
suitcase,4.32,NN,7-9
tam,4.32,NN,7-9
unexpected,4.32,JJ,7-9
upwards,4.32,RB,7-9
wiping,4.32,VBG,7-9
yossarian,4.32,JJ,all
aboard,4.31,IN,7-9
adult,4.31,JJ,7-9
beam,4.31,NN,7-9
bounced,4.31,VBD,7-9
causing,4.31,VBG,7-9
collected,4.31,VBN,7-9
crushed,4.31,VBN,7-9
cursed,4.31,VBD,7-9
defend,4.31,VB,7-9
diary,4.31,NN,7-9
district,4.31,NN,7-9
driveway,4.31,NN,7-9
electricity,4.31,NN,7-9
enchanted,4.31,JJ,7-9
expensive,4.31,JJ,7-9
giggled,4.31,VBD,7-9
gloom,4.31,NN,7-9
host,4.31,NN,7-9
melted,4.31,VBN,7-9
powder,4.31,NN,7-9
refuse,4.31,VB,7-9
revenge,4.31,NN,7-9
snarled,4.31,VBD,7-9
stove,4.31,NN,7-9
suffer,4.31,VB,7-9
thread,4.31,NN,7-9
upside,4.31,RB,7-9
valentine,4.31,NN,7-9
accent,4.3,NN,7-9
assume,4.3,VB,7-9
badger,4.3,NN,7-9
barrier,4.3,NN,7-9
breast,4.3,NN,7-9
brisbane,4.3,NN,7-9
clary,4.3,JJ,10-12
credit,4.3,NN,7-9
crumpled,4.3,VBN,7-9
cute,4.3,JJ,7-9
exposed,4.3,VBN,7-9
file,4.3,NN,7-9
filthy,4.3,JJ,7-9
genius,4.3,NN,7-9
intelligence,4.3,NN,7-9
issue,4.3,NN,7-9
mattress,4.3,NN,7-9
polished,4.3,JJ,7-9
relationship,4.3,NN,7-9
skinny,4.3,JJ,7-9
suffered,4.3,VBN,7-9
tangled,4.3,VBN,7-9
taylor,4.3,NN,7-9
troops,4.3,NNS,7-9
tube,4.3,NN,7-9
vote,4.3,VB,7-9
widened,4.3,VBD,7-9
aim,4.29,NN,7-9
akiva,4.29,NN,10-12
amazed,4.29,JJ,7-9
dangling,4.29,VBG,7-9
estate,4.29,NN,7-9
gallery,4.29,NN,7-9
gandalf,4.29,NN,7-9
hatred,4.29,NN,7-9
inn,4.29,NN,7-9
japanese,4.29,JJ,7-9
ledge,4.29,NN,7-9
licked,4.29,VBD,7-9
lizzie,4.29,NN,7-9
mounted,4.29,VBD,7-9
necklace,4.29,NN,7-9
needle,4.29,NN,7-9
passengers,4.29,NNS,7-9
prefer,4.29,VBP,7-9
prof,4.29,NN,7-9
reflected,4.29,VBD,7-9
sansa,4.29,NN,all
scales,4.29,NNS,7-9
scarf,4.29,NN,7-9
shrugs,4.29,VBZ,7-9
stroked,4.29,VBD,7-9
threatening,4.29,VBG,7-9
title,4.29,NN,7-9
tools,4.29,NNS,7-9
western,4.29,JJ,7-9
winked,4.29,VBD,7-9
access,4.28,NN,7-9
amazement,4.28,NN,7-9
beetles,4.28,NNS,7-9
california,4.28,NN,7-9
cheered,4.28,VBD,7-9
col,4.28,NN,7-9
complained,4.28,VBD,7-9
cure,4.28,NN,7-9
curved,4.28,JJ,7-9
heavens,4.28,NNS,7-9
impressive,4.28,JJ,7-9
included,4.28,VBD,7-9
ing,4.28,VBG,7-9
inner,4.28,JJ,7-9
insects,4.28,NNS,7-9
instance,4.28,NN,7-9
magnificent,4.28,JJ,7-9
mortal,4.28,JJ,7-9
northern,4.28,JJ,7-9
provide,4.28,VB,7-9
purse,4.28,NN,7-9
rip,4.28,VB,7-9
sensation,4.28,NN,7-9
stroke,4.28,NN,7-9
witness,4.28,NN,7-9
wounds,4.28,NNS,7-9
ann,4.27,NN,10-12
astonishment,4.27,NN,7-9
axe,4.27,NN,7-9
butt,4.27,NN,7-9
childhood,4.27,NN,7-9
copper,4.27,NN,7-9
disease,4.27,NN,7-9
eagle,4.27,NN,7-9
extended,4.27,VBD,7-9
girlfriend,4.27,NN,7-9
glory,4.27,NN,7-9
hitler,4.27,NN,7-9
introduced,4.27,VBD,7-9
pulse,4.27,NN,7-9
recovered,4.27,VBN,7-9
remove,4.27,VB,7-9
steadily,4.27,RB,7-9
suspicion,4.27,NN,7-9
thoughtfully,4.27,RB,7-9
thud,4.27,NN,7-9
umbrella,4.27,NN,7-9
union,4.27,NN,7-9
urged,4.27,VBD,7-9
value,4.27,NN,7-9
amused,4.26,JJ,7-9
angle,4.26,NN,7-9
buck,4.26,NN,7-9
cabinet,4.26,NN,7-9
cinder,4.26,NN,7-9
dusk,4.26,NN,7-9
elder,4.26,NN,7-9
fountain,4.26,NN,7-9
glittering,4.26,VBG,7-9
guardian,4.26,NN,7-9
jail,4.26,NN,7-9
nuts,4.26,NNS,7-9
owe,4.26,VBP,7-9
passenger,4.26,NN,7-9
pine,4.26,NN,7-9
sailors,4.26,NNS,7-9
scale,4.26,NN,7-9
sip,4.26,VB,7-9
sports,4.26,NNS,7-9
sweeping,4.26,VBG,7-9
tribe,4.26,NN,7-9
uneasy,4.26,JJ,7-9
absolute,4.25,JJ,7-9
awesome,4.25,JJ,7-9
balcony,4.25,NN,7-9
baron,4.25,NN,7-9
beetle,4.25,NN,7-9
christian,4.25,JJ,7-9
conner,4.25,NN,10-12
disbelief,4.25,NN,7-9
dizzy,4.25,JJ,7-9
fireplace,4.25,NN,7-9
gigantic,4.25,JJ,7-9
healthy,4.25,JJ,7-9
heartbeat,4.25,NN,7-9
jelly,4.25,NN,7-9
jewels,4.25,NNS,7-9
jones,4.25,NNS,7-9
misery,4.25,NN,7-9
mix,4.25,NN,7-9
mobile,4.25,JJ,7-9
phoenix,4.25,NN,7-9
poking,4.25,VBG,7-9
pony,4.25,NN,7-9
pound,4.25,NN,7-9
railway,4.25,NN,7-9
rotten,4.25,JJ,7-9
slice,4.25,NN,7-9
solve,4.25,VB,7-9
stall,4.25,NN,7-9
strained,4.25,VBN,7-9
unconscious,4.25,JJ,7-9
upward,4.25,RB,7-9
vessel,4.25,NN,7-9
wardrobe,4.25,NN,7-9
assistant,4.24,NN,7-9
betrayed,4.24,VBN,7-9
brianna,4.24,NN,10-12
bullets,4.24,NNS,7-9
civil,4.24,JJ,7-9
compartment,4.24,NN,7-9
depths,4.24,NNS,7-9
director,4.24,NN,7-9
elevator,4.24,NN,7-9
fogg,4.24,NN,7-9
ginger,4.24,NN,7-9
grumbled,4.24,VBD,7-9
grunted,4.24,VBD,7-9
muttering,4.24,VBG,7-9
playground,4.24,NN,7-9
robes,4.24,NNS,7-9
scanned,4.24,VBD,7-9
smith,4.24,NN,7-9
squeaked,4.24,VBD,7-9
successful,4.24,JJ,7-9
super,4.24,JJ,7-9
tooth,4.24,NN,7-9
toto,4.24,NN,7-9
yourselves,4.24,NNS,7-9
attic,4.23,NN,7-9
bold,4.23,JJ,7-9
combat,4.23,NN,7-9
comment,4.23,NN,7-9
drifting,4.23,VBG,7-9
engaged,4.23,VBN,7-9
fading,4.23,VBG,7-9
fingertips,4.23,NNS,7-9
gansey,4.23,NN,all
gear,4.23,NN,7-9
greeted,4.23,VBD,7-9
interview,4.23,NN,7-9
nate,4.23,NN,7-9
navy,4.23,NN,7-9
positive,4.23,JJ,7-9
quit,4.23,VB,7-9
rail,4.23,NN,7-9
rattled,4.23,VBN,7-9
score,4.23,NN,7-9
senior,4.23,JJ,7-9
solar,4.23,JJ,7-9
stool,4.23,NN,7-9
thump,4.23,NN,7-9
unpleasant,4.23,JJ,7-9
violently,4.23,RB,7-9
whilst,4.23,IN,7-9
wool,4.23,NN,7-9
worthy,4.23,JJ,7-9
alem,4.22,NN,all
ankles,4.22,NNS,7-9
bald,4.22,JJ,7-9
battered,4.22,JJ,7-9
beak,4.22,NN,7-9
beamed,4.22,VBD,7-9
beloved,4.22,JJ,7-9
blur,4.22,NN,7-9
bond,4.22,NN,7-9
clasped,4.22,JJ,7-9
corpse,4.22,NN,7-9
costume,4.22,NN,7-9
crooked,4.22,JJ,7-9
demand,4.22,NN,7-9
demons,4.22,NNS,7-9
deny,4.22,VB,7-9
dipped,4.22,VBD,7-9
disgusting,4.22,JJ,7-9
express,4.22,VB,7-9
gravel,4.22,NN,7-9
hairy,4.22,JJ,7-9
heel,4.22,NN,7-9
lobby,4.22,NN,7-9
madness,4.22,NN,7-9
malkin,4.22,NN,10-12
mars,4.22,NNS,7-9
matthias,4.22,NNS,7-9
mount,4.22,NN,7-9
neighborhood,4.22,NN,7-9
pizza,4.22,NN,7-9
precisely,4.22,RB,7-9
scars,4.22,NNS,7-9
shallow,4.22,JJ,7-9
shine,4.22,VB,7-9
splendid,4.22,JJ,7-9
talent,4.22,NN,7-9
afterward,4.21,RB,7-9
bacon,4.21,NN,7-9
baseball,4.21,NN,7-9
bellowed,4.21,VBN,7-9
bouncing,4.21,VBG,7-9
brand,4.21,NN,7-9
britain,4.21,NN,7-9
broom,4.21,NN,7-9
bubble,4.21,NN,7-9
ceremony,4.21,NN,7-9
criminal,4.21,JJ,7-9
degree,4.21,NN,7-9
earned,4.21,VBN,7-9
eastern,4.21,JJ,7-9
edie,4.21,NN,7-9
fuel,4.21,NN,7-9
governor,4.21,NN,7-9
haunted,4.21,VBN,7-9
hay,4.21,NN,7-9
incident,4.21,NN,7-9
insane,4.21,JJ,7-9
instinct,4.21,NN,7-9
jus,4.21,NN,7-9
landscape,4.21,NN,7-9
magazine,4.21,NN,7-9
manager,4.21,NN,7-9
midst,4.21,NN,7-9
mug,4.21,NN,7-9
nazi,4.21,JJ,7-9
oskar,4.21,NN,7-9
panicked,4.21,JJ,7-9
partner,4.21,NN,7-9
preferred,4.21,VBN,7-9
priest,4.21,NN,7-9
related,4.21,VBN,7-9
rome,4.21,NN,7-9
rub,4.21,VB,7-9
scowled,4.21,VBD,7-9
sparkling,4.21,JJ,7-9
stock,4.21,NN,7-9
sunset,4.21,NN,7-9
unit,4.21,NN,7-9
accused,4.2,VBN,7-9
aimed,4.2,VBN,7-9
cafe,4.2,NN,7-9
dome,4.2,NN,7-9
firedrake,4.2,NN,7-9
flooded,4.2,VBN,7-9
gut,4.2,NN,7-9
hawthorne,4.2,NN,7-9
highway,4.2,NN,7-9
invented,4.2,VBN,7-9
journal,4.2,NN,7-9
lieutenant,4.2,NN,7-9
mam,4.2,NN,7-9
mistaken,4.2,JJ,7-9
motionless,4.2,JJ,7-9
mummy,4.2,NN,7-9
nudged,4.2,VBD,7-9
obliged,4.2,VBN,7-9
pleaded,4.2,VBD,7-9
random,4.2,JJ,7-9
ribbon,4.2,NN,7-9
sailor,4.2,NN,7-9
shaft,4.2,NN,7-9
sleepy,4.2,JJ,7-9
starving,4.2,VBG,7-9
statement,4.2,NN,7-9
taxi,4.2,NN,7-9
tickets,4.2,NNS,7-9
urgent,4.2,JJ,7-9
utter,4.2,JJ,7-9
zeus,4.2,NN,7-9
article,4.19,NN,7-9
bubbles,4.19,NNS,7-9
committed,4.19,VBN,7-9
discovery,4.19,NN,7-9
divided,4.19,VBN,7-9
freak,4.19,NN,7-9
freeze,4.19,VB,7-9
greek,4.19,JJ,7-9
heaved,4.19,VBD,7-9
importance,4.19,NN,7-9
intention,4.19,NN,7-9
intently,4.19,RB,7-9
laptop,4.19,NN,7-9
legal,4.19,JJ,7-9
liar,4.19,NN,7-9
outstretched,4.19,JJ,7-9
panel,4.19,NN,7-9
peters,4.19,NNS,7-9
queer,4.19,NN,7-9
riders,4.19,NNS,7-9
routine,4.19,NN,7-9
russian,4.19,JJ,7-9
scarecrow,4.19,NN,7-9
site,4.19,NN,7-9
slim,4.19,JJ,7-9
sorrel,4.19,NN,7-9
squeak,4.19,NN,7-9
surprisingly,4.19,RB,7-9
sweep,4.19,NN,7-9
swollen,4.19,JJ,7-9
toys,4.19,NNS,7-9
victim,4.19,NN,7-9
whiskers,4.19,NNS,7-9
workshop,4.19,NN,7-9
yer,4.19,PRP,7-9
boom,4.18,NN,7-9
creek,4.18,NN,7-9
cricket,4.18,NN,7-9
darkened,4.18,VBN,7-9
dock,4.18,NN,7-9
draped,4.18,VBN,7-9
entry,4.18,NN,7-9
failure,4.18,NN,7-9
flood,4.18,NN,7-9
gum,4.18,NN,7-9
hunched,4.18,VBN,7-9
items,4.18,NNS,7-9
jerk,4.18,NN,7-9
nerve,4.18,NN,7-9
occasional,4.18,JJ,7-9
reputation,4.18,NN,7-9
robb,4.18,NN,all
sandwiches,4.18,NNS,7-9
sixth,4.18,JJ,7-9
stir,4.18,VB,7-9
sympathy,4.18,NN,7-9
tattoo,4.18,NN,7-9
treatment,4.18,NN,7-9
vaguely,4.18,RB,7-9
archer,4.17,NN,7-9
assembly,4.17,NN,7-9
blackness,4.17,NN,7-9
blazing,4.17,VBG,7-9
bunk,4.17,NN,7-9
cardboard,4.17,NN,7-9
carlos,4.17,NNS,7-9
channel,4.17,NN,7-9
cheap,4.17,JJ,7-9
choking,4.17,VBG,7-9
complex,4.17,JJ,7-9
con,4.17,NN,7-9
confess,4.17,VB,7-9
expert,4.17,NN,7-9
float,4.17,VB,7-9
fort,4.17,NN,7-9
gulped,4.17,VBD,7-9
helicopter,4.17,NN,7-9
indians,4.17,NNS,7-9
laundry,4.17,NN,7-9
location,4.17,NN,7-9
meadow,4.17,NN,7-9
meantime,4.17,NN,7-9
morrow,4.17,NN,7-9
neon,4.17,NN,7-9
pathetic,4.17,JJ,7-9
patterns,4.17,NNS,7-9
polish,4.17,NN,7-9
potato,4.17,NN,7-9
resolved,4.17,VBN,7-9
rug,4.17,NN,7-9
someday,4.17,RB,7-9
vain,4.17,JJ,7-9
affair,4.16,NN,7-9
alien,4.16,JJ,7-9
alike,4.16,RB,7-9
assure,4.16,VBP,7-9
bard,4.16,NN,7-9
behave,4.16,VB,7-9
blonde,4.16,JJ,7-9
bronze,4.16,NN,7-9
confirmed,4.16,VBD,7-9
conor,4.16,NN,7-9
curly,4.16,JJ,7-9
directed,4.16,VBN,7-9
earn,4.16,VB,7-9
elves,4.16,NNS,7-9
epic,4.16,JJ,7-9
eyelids,4.16,NNS,7-9
fade,4.16,VB,7-9
fangs,4.16,NNS,7-9
forbidden,4.16,VBN,7-9
giggling,4.16,VBG,7-9
hop,4.16,VB,7-9
household,4.16,NN,7-9
italian,4.16,JJ,7-9
jody,4.16,NN,10-12
jolly,4.16,RB,7-9
lace,4.16,VB,7-9
lazy,4.16,JJ,7-9
mole,4.16,NN,7-9
ow,4.16,NN,7-9
pirate,4.16,NN,7-9
practical,4.16,JJ,7-9
produce,4.16,VB,7-9
rattling,4.16,VBG,7-9
ruins,4.16,NNS,7-9
shoving,4.16,VBG,7-9
shrike,4.16,NN,10-12
sour,4.16,JJ,7-9
steering,4.16,NN,7-9
succeeded,4.16,VBD,7-9
wink,4.16,NN,7-9
apron,4.15,NN,7-9
attitude,4.15,NN,7-9
beams,4.15,NNS,7-9
brenda,4.15,NN,7-9
cavern,4.15,NN,7-9
cheering,4.15,VBG,7-9
clover,4.15,NN,7-9
coffin,4.15,NN,7-9
consciousness,4.15,NN,7-9
customers,4.15,NNS,7-9
deaths,4.15,NNS,7-9
drown,4.15,VB,7-9
dude,4.15,NN,7-9
einstein,4.15,NN,7-9
grasped,4.15,VBD,7-9
heal,4.15,VB,7-9
lemon,4.15,NN,7-9
liberty,4.15,NN,7-9
native,4.15,JJ,7-9
outfit,4.15,NN,7-9
perform,4.15,VB,7-9
prue,4.15,NN,7-9
quest,4.15,NN,7-9
shimmering,4.15,JJ,7-9
sidewalk,4.15,NN,7-9
splash,4.15,NN,7-9
squire,4.15,NN,7-9
stung,4.15,VBD,7-9
survival,4.15,NN,7-9
thoughtful,4.15,JJ,7-9
weeping,4.15,VBG,7-9
affection,4.14,NN,7-9
agnes,4.14,NNS,7-9
basic,4.14,JJ,7-9
breathless,4.14,JJ,7-9
cocked,4.14,JJ,7-9
expedition,4.14,NN,7-9
fiery,4.14,JJ,7-9
healing,4.14,NN,7-9
kettle,4.14,NN,7-9
lifetime,4.14,NN,7-9
matron,4.14,NN,7-9
needles,4.14,NNS,7-9
pad,4.14,NN,7-9
parade,4.14,NN,7-9
rumble,4.14,VB,7-9
scout,4.14,NN,7-9
smiley,4.14,JJ,7-9
sneaking,4.14,VBG,7-9
stables,4.14,NNS,7-9
tempest,4.14,NN,7-9
unsure,4.14,JJ,7-9
worship,4.14,NN,7-9
academy,4.13,NN,7-9
arcturus,4.13,NN,7-9
armchair,4.13,NN,7-9
barnabas,4.13,NNS,7-9
bury,4.13,VB,7-9
cape,4.13,NN,7-9
celebrate,4.13,VB,7-9
cheerfully,4.13,RB,7-9
contrary,4.13,NN,7-9
crimson,4.13,JJ,7-9
distract,4.13,VB,7-9
doc,4.13,NN,7-9
drowning,4.13,VBG,7-9
drug,4.13,NN,7-9
elf,4.13,NN,7-9
fleet,4.13,NN,7-9
foster,4.13,JJ,7-9
frustrated,4.13,JJ,7-9
invite,4.13,VB,7-9
jest,4.13,NN,7-9
lucien,4.13,NN,10-12
math,4.13,NN,7-9
nail,4.13,NN,7-9
nautilus,4.13,NN,7-9
picnic,4.13,NN,7-9
poem,4.13,NN,7-9
pounded,4.13,VBD,7-9
prospect,4.13,NN,7-9
raffe,4.13,NN,all
reception,4.13,NN,7-9
regarded,4.13,VBD,7-9
rim,4.13,NN,7-9
stirring,4.13,VBG,7-9
trash,4.13,NN,7-9
uncertain,4.13,JJ,7-9
unfortunate,4.13,JJ,7-9
vague,4.13,JJ,7-9
vampires,4.13,NNS,7-9
wealth,4.13,NN,7-9
weeds,4.13,NNS,7-9
artist,4.12,NN,7-9
athos,4.12,NNS,7-9
bedside,4.12,NN,7-9
contain,4.12,VB,7-9
countless,4.12,JJ,7-9
degrees,4.12,NNS,7-9
disguise,4.12,VB,7-9
elsewhere,4.12,RB,7-9
embarrassment,4.12,NN,7-9
embrace,4.12,NN,7-9
frost,4.12,NN,7-9
hurriedly,4.12,RB,7-9
identical,4.12,JJ,7-9
inquired,4.12,VBD,7-9
latin,4.12,JJ,7-9
legend,4.12,NN,7-9
messenger,4.12,NN,7-9
online,4.12,RB,7-9
oven,4.12,NN,7-9
package,4.12,NN,7-9
pod,4.12,NN,7-9
require,4.12,VB,7-9
scion,4.12,NN,7-9
scraped,4.12,VBD,7-9
splashed,4.12,VBD,7-9
squad,4.12,NN,7-9
sting,4.12,NN,7-9
superior,4.12,JJ,7-9
swamp,4.12,VB,7-9
tempted,4.12,VBN,7-9
thumping,4.12,VBG,7-9
tia,4.12,NN,7-9
victims,4.12,NNS,7-9
wee,4.12,JJ,7-9
wept,4.12,VBD,7-9
arena,4.11,NN,7-9
atop,4.11,IN,7-9
author,4.11,NN,7-9
avenue,4.11,NN,7-9
beaming,4.11,VBG,7-9
beanie,4.11,NN,7-9
bilbo,4.11,NN,7-9
cattle,4.11,NNS,7-9
collecting,4.11,VBG,7-9
complain,4.11,VB,7-9
countryside,4.11,NN,7-9
county,4.11,NN,7-9
delay,4.11,NN,7-9
drugs,4.11,NNS,7-9
dumped,4.11,VBD,7-9
elderly,4.11,JJ,7-9
fantastic,4.11,JJ,7-9
fold,4.11,VB,7-9
folding,4.11,VBG,7-9
goddess,4.11,NN,7-9
graveyard,4.11,NN,7-9
hearth,4.11,NN,7-9
hermes,4.11,NNS,7-9
instinctively,4.11,RB,7-9
marsh,4.11,NN,7-9
maths,4.11,NNS,7-9
mound,4.11,NN,7-9
mouthful,4.11,NN,7-9
packet,4.11,NN,7-9
piercing,4.11,VBG,7-9
pirates,4.11,NNS,7-9
plucked,4.11,VBD,7-9
poetry,4.11,NN,7-9
railing,4.11,NN,7-9
rattle,4.11,VB,7-9
razor,4.11,NN,7-9
religious,4.11,JJ,7-9
strain,4.11,NN,7-9
suspended,4.11,VBN,7-9
aircraft,4.1,NN,7-9
apology,4.1,NN,7-9
arched,4.1,JJ,7-9
aura,4.1,NN,7-9
becks,4.1,NNS,7-9
borrow,4.1,VB,7-9
borrowed,4.1,VBN,7-9
canoe,4.1,NN,7-9
ceased,4.1,VBD,7-9
charlies,4.1,NNS,7-9
chattering,4.1,VBG,7-9
cherry,4.1,NN,7-9
dan,4.1,NN,7-9
drift,4.1,NN,7-9
escort,4.1,NN,7-9
explode,4.1,VB,7-9
farewell,4.1,NN,7-9
furry,4.1,JJ,7-9
greet,4.1,VB,7-9
guts,4.1,NNS,7-9
imaginary,4.1,JJ,7-9
louisa,4.1,NN,7-9
mansion,4.1,NN,7-9
melting,4.1,VBG,7-9
noisy,4.1,JJ,7-9
parchment,4.1,NN,7-9
policemen,4.1,NNS,7-9
raft,4.1,NN,7-9
recover,4.1,VB,7-9
rucksack,4.1,NN,7-9
russia,4.1,NN,7-9
sale,4.1,NN,7-9
schedule,4.1,NN,7-9
scrap,4.1,NN,7-9
slung,4.1,VBD,7-9
soda,4.1,NN,7-9
supreme,4.1,JJ,7-9
th,4.1,IN,7-9
trigger,4.1,NN,7-9
web,4.1,NN,7-9
adopted,4.09,VBN,7-9
applause,4.09,NN,7-9
arch,4.09,NN,7-9
armpit,4.09,NN,7-9
atticus,4.09,NN,7-9
bride,4.09,NN,7-9
cause,4.09,VB,7-9
chapel,4.09,NN,7-9
christ,4.09,NN,7-9
clan,4.09,NN,7-9
commandant,4.09,NN,10-12
congress,4.09,NN,7-9
